# Matter power spectrum P(k) at redshift z=0
# for k=1.04211e-05 to 8.36311 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.738408693914e-01       1.701105792485e+02 
       6.770493566053e-01       1.683375727306e+02 
       6.802578438861e-01       1.665889578652e+02 
       6.834663312329e-01       1.648643125073e+02 
       6.866748186447e-01       1.631641649939e+02 
       6.898833061206e-01       1.614889829629e+02 
       6.930917936598e-01       1.598395986786e+02 
       6.963002812613e-01       1.582157001777e+02 
       6.995087689243e-01       1.566164117308e+02 
       7.027172566479e-01       1.550401071959e+02 
       7.059257444314e-01       1.534855579878e+02 
       7.091342322739e-01       1.519514121430e+02 
       7.123427201746e-01       1.504379966855e+02 
       7.155512081327e-01       1.489457658186e+02 
       7.187596961475e-01       1.474750315478e+02 
       7.219681842182e-01       1.460255662664e+02 
       7.251766723441e-01       1.445963770892e+02 
       7.283851605243e-01       1.431860222812e+02 
       7.315936487583e-01       1.417934361198e+02 
       7.348021370453e-01       1.404185096299e+02 
       7.380106253845e-01       1.390613239086e+02 
       7.412191137754e-01       1.377223821249e+02 
       7.444276022173e-01       1.363988019825e+02 
       7.476360907095e-01       1.350974777705e+02 
       7.508445792513e-01       1.338140135713e+02 
       8.198502223185e-01       1.098732236300e+02 
       9.193585469958e-01       8.475302464882e+01 
       1.077121074446e+00       5.891381079386e+01 
       1.327451770204e+00       3.617101051733e+01 
       1.668695915686e+00       2.100288551985e+01 
       2.100719253549e+00       1.204408788689e+01 
       2.644648695791e+00       6.850075836557e+00 
       3.329415448324e+00       3.866970288007e+00 
